DCRSRVJPX301	
10.1.36.16	EVERI-JackpotXpress-CleanArchive
10.1.36.16	EVERI-JackpotXpress-JackpotPoller
10.1.36.16	EVERI-JackpotXpress-TaskRunner
DCRSRVJPX301 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.1.36.16	W3SVC
10.1.36.16	WAS
DCRSRVJPX302	
10.1.36.17	"SQLsafe Backup Service"
10.1.36.17	"SQLsafe Filter Service"
10.1.36.17	SQLSafeOLRService
10.1.36.17	MSSQLSERVER
10.1.36.17	SQLSERVERAGENT
10.1.36.17	SQLTELEMETRY
10.1.36.17	SQLServerReportingServices
10.1.36.17	SQLWriter
DCRSRVKSK301	
10.1.160.96	ReportServ$2021
10.1.160.96	ReportServ$2022
10.1.160.96	ReportServ$2022
10.1.160.96	ReportServ$2023
10.1.160.96	ReportServ$2024
10.1.160.96	ReportServ$2025
10.1.160.96	ReportServ$2026
10.1.160.96	ReportServ$2027
10.1.160.96	ReportServ$2028
10.1.160.96	ReportServ$2029
10.1.160.96	ReportServ$2030
10.1.160.96	ReportServ$2031
10.1.160.96	ReportServ$2032
10.1.160.96	ReportServAgent
10.1.160.96	XPRO
DCRSRVKSK301 IIS - SOFT(STOP W3SVC. START W3SVC) HARD(STOP GO TOP-DOWN. START GO BOTTOM-UP)	
10.1.160.96	W3SVC
10.1.160.96	WAS
DCRSRVKSK302	
10.1.161.57	MSSQLSERVER
10.1.161.57	SQLSERVERAGENT
10.1.161.57	SQLTELEMETRY
10.1.161.57	SQLServerReportingServices
10.1.161.57	SQLWriter
